																														
																														
param layers_in_out :=																														
["YEAR_2015",*,*]: 	ELECTRICITY	GASOLINE	DIESEL	LFO	NG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	SLF	HEAT_HIGH_T	HEAT_LOW_T_DHN	HEAT_LOW_T_DECEN	MOB_PUBLIC	MOB_PRIVATE	MOB_FREIGHT_RAIL	MOB_FREIGHT_ROAD	MOB_FREIGHT_BOAT	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO 	NON_ENERGY	CO2_ATM 	CO2_INDUSTRY	CO2_CAPTURED	:=	
COAL_US	1	0	0	0	0	0	0	-2.203853608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734688	0		
COAL_IGCC	1	0	0	0	0	0	0	-1.999861082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666684	0		
PV	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0		
WIND_ONSHORE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0		
WIND_OFFSHORE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0		
HYDRO_RIVER	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0		
GEOTHERMAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0		
IND_COGEN_GAS	0.9565	0	0	0	-2.19460381	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43478	0		
IND_COGEN_WOOD	0.3396	0	0	0	0	-1.8868	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735852	0		
IND_COGEN_WASTE	0.4444	0	0	0	0	0	0	0	0	-2.22884666	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.577772	0		
IND_BOILER_GAS	0	0	0	0	-1.088771429	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2157	0		
IND_BOILER_WOOD	0	0	0	0	0	-1.167817143	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451152	0		
IND_BOILER_OIL	0	0	0	-1.157015238	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297986	0		
IND_BOILER_COAL	0	0	0	0	0	0	0	-1.231114286	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43902	0		
IND_BOILER_WASTE	0	0	0	0	0	0	0	0	0	-1.231114286	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31707	0		
IND_DIRECT_ELEC	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
DHN_HP_ELEC	-0.269097222	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
DHN_COGEN_GAS	1.25	0	0	0	-2.523809524	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0		
DHN_COGEN_WOOD	0.3396	0	0	0	0	-1.8868	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.735852	0		
DHN_COGEN_WASTE	0.4444	0	0	0	0	0	0	0	0	-2.22884666	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.577772	0		
DHN_COGEN_WET_BIOMASS	0.875	0	0	0	0	0	-2.507477567	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0		
DHN_BOILER_GAS	0	0	0	0	-1.088771429	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2157	0		
DHN_BOILER_WOOD	0	0	0	0	0	-1.167817143	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.451152	0		
DHN_BOILER_OIL	0	0	0	-1.157015238	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.297986	0		
DHN_DEEP_GEO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0		
DHN_SOLAR	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0		
DEC_HP_ELEC	-0.358760417	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
DEC_THHP_GAS	0	0	0	0	-0.717628472	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
DEC_COGEN_GAS	0.9565	0	0	0	-2.19460381	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
DEC_COGEN_OIL	0.907	0	0	-2.347748571	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
